20105,LOUDOUN,57,409
20109,PRINCE WILLIAM,469,1142
20111,PRINCE WILLIAM,354,929
20112,PRINCE WILLIAM,88,537
20117,LOUDOUN,7,43
20118,LOUDOUN,,42
20120,FAIRFAX,120,715
20121,FAIRFAX,83,433
20124,FAIRFAX,28,247
20129,LOUDOUN,7,26
20132,LOUDOUN,20,248
20136,PRINCE WILLIAM,78,491
20141,LOUDOUN,7,100
20143,PRINCE WILLIAM,0,21
20147,LOUDOUN,179,1013
20148,LOUDOUN,78,648
20151,FAIRFAX,90,357
20152,LOUDOUN,59,388
20155,PRINCE WILLIAM,115,663
20158,LOUDOUN,6,60
20164,LOUDOUN,329,943
20165,LOUDOUN,116,616
20166,LOUDOUN,56,268
20169,PRINCE WILLIAM,43,408
20170,FAIRFAX,308,925
20171,FAIRFAX,161,655
20175,LOUDOUN,60,552
20176,LOUDOUN,171,893
20180,LOUDOUN,6,119
20181,PRINCE WILLIAM,20,161
20190,FAIRFAX,105,462
20191,FAIRFAX,140,610
20194,FAIRFAX,17,186
20197,LOUDOUN,,49
22003,FAIRFAX,547,1565
22015,FAIRFAX,221,839
22025,PRINCE WILLIAM,57,350
22026,PRINCE WILLIAM,91,428
22027,FAIRFAX,39,67
22030,FAIRFAX,143,969
22031,FAIRFAX,173,738
22032,FAIRFAX,83,495
22033,FAIRFAX,113,654
22035,FAIRFAX,0,4
22039,FAIRFAX,39,292
22041,FAIRFAX,374,866
22042,FAIRFAX,309,986
22043,FAIRFAX,118,480
22044,FAIRFAX,130,373
22046,FAIRFAX,94,409
22060,FAIRFAX,11,76
22066,FAIRFAX,34,385
22079,FAIRFAX,157,758
22101,FAIRFAX,78,759
22102,FAIRFAX,71,599
22124,FAIRFAX,30,283
22125,PRINCE WILLIAM,0,12
22134,PRINCE WILLIAM,13,45
22150,FAIRFAX,415,1012
22151,FAIRFAX,145,467
22152,FAIRFAX,108,522
22153,FAIRFAX,95,526
22172,PRINCE WILLIAM,72,241
22180,FAIRFAX,76,489
22181,FAIRFAX,26,246
22182,FAIRFAX,59,472
22191,PRINCE WILLIAM,679,2265
22192,PRINCE WILLIAM,284,1471
22193,PRINCE WILLIAM,609,2132
22201,ARLINGTON,133,860
22202,ARLINGTON,110,566
22203,ARLINGTON,178,559
22204,ARLINGTON,542,1602
22205,ARLINGTON,80,451
22206,ARLINGTON,101,496
22207,ARLINGTON,183,875
22209,ARLINGTON,47,310
22211,FAIRFAX,,10
22213,ARLINGTON,10,67
22214,ARLINGTON,0,2
22301,ALEXANDRIA,41,343
22302,ALEXANDRIA,114,457
22303,ALEXANDRIA,84,423
22304,ALEXANDRIA,352,1383
22305,ALEXANDRIA,370,706
22306,ALEXANDRIA,401,1047
22307,ALEXANDRIA,40,258
22308,ALEXANDRIA,26,185
22309,ALEXANDRIA,311,882
22310,ALEXANDRIA,166,667
22311,ALEXANDRIA,219,636
22312,ALEXANDRIA,250,813
22314,ALEXANDRIA,123,830
22315,ALEXANDRIA,60,471
