20105,LOUDOUN,59,451
20109,PRINCE WILLIAM,499,1309
20111,PRINCE WILLIAM,383,1070
20112,PRINCE WILLIAM,96,588
20117,LOUDOUN,7,47
20118,LOUDOUN,,46
20120,FAIRFAX,133,780
20121,FAIRFAX,92,484
20124,FAIRFAX,28,274
20129,LOUDOUN,7,27
20132,LOUDOUN,22,272
20136,PRINCE WILLIAM,78,549
20141,LOUDOUN,7,108
20143,PRINCE WILLIAM,0,21
20147,LOUDOUN,190,1114
20148,LOUDOUN,81,699
20151,FAIRFAX,95,399
20152,LOUDOUN,61,424
20155,PRINCE WILLIAM,126,719
20158,LOUDOUN,7,63
20164,LOUDOUN,364,1044
20165,LOUDOUN,121,663
20166,LOUDOUN,59,302
20169,PRINCE WILLIAM,49,452
20170,FAIRFAX,332,1022
20171,FAIRFAX,169,716
20175,LOUDOUN,66,600
20176,LOUDOUN,191,989
20180,LOUDOUN,7,127
20181,PRINCE WILLIAM,20,180
20190,FAIRFAX,111,523
20191,FAIRFAX,147,668
20194,FAIRFAX,17,213
20197,LOUDOUN,,53
22003,FAIRFAX,594,1715
22015,FAIRFAX,232,910
22025,PRINCE WILLIAM,60,379
22026,PRINCE WILLIAM,91,455
22027,FAIRFAX,39,74
22030,FAIRFAX,158,1074
22031,FAIRFAX,183,813
22032,FAIRFAX,83,543
22033,FAIRFAX,128,705
22035,FAIRFAX,0,4
22039,FAIRFAX,42,315
22041,FAIRFAX,409,985
22042,FAIRFAX,343,1073
22043,FAIRFAX,127,528
22044,FAIRFAX,148,396
22046,FAIRFAX,96,437
22060,FAIRFAX,11,80
22066,FAIRFAX,33,415
22079,FAIRFAX,165,823
22101,FAIRFAX,82,817
22102,FAIRFAX,74,641
22124,FAIRFAX,32,315
22125,PRINCE WILLIAM,0,13
22134,PRINCE WILLIAM,13,46
22150,FAIRFAX,439,1111
22151,FAIRFAX,157,509
22152,FAIRFAX,117,561
22153,FAIRFAX,97,565
22172,PRINCE WILLIAM,73,259
22180,FAIRFAX,88,554
22181,FAIRFAX,27,260
22182,FAIRFAX,62,512
22191,PRINCE WILLIAM,722,2433
22192,PRINCE WILLIAM,303,1567
22193,PRINCE WILLIAM,658,2315
22201,ARLINGTON,138,923
22202,ARLINGTON,116,595
22203,ARLINGTON,185,600
22204,ARLINGTON,581,1713
22205,ARLINGTON,81,484
22206,ARLINGTON,103,532
22207,ARLINGTON,185,947
22209,ARLINGTON,48,333
22211,FAIRFAX,,10
22213,ARLINGTON,10,69
22214,ARLINGTON,0,2
22301,ALEXANDRIA,45,363
22302,ALEXANDRIA,124,491
22303,ALEXANDRIA,91,465
22304,ALEXANDRIA,382,1495
22305,ALEXANDRIA,386,765
22306,ALEXANDRIA,423,1125
22307,ALEXANDRIA,43,275
22308,ALEXANDRIA,27,203
22309,ALEXANDRIA,330,953
22310,ALEXANDRIA,173,721
22311,ALEXANDRIA,237,683
22312,ALEXANDRIA,265,876
22314,ALEXANDRIA,128,887
22315,ALEXANDRIA,61,497
